id	event	title	url	begin	end	duration	day	location	track	format	level	lang	speakers	last_modified
rp14-session-270	rp14	Die Drei-Welten-Theorie. Von der Informationsüberlastung zur Informationssouveränität. 	http://re-publica.de/node/270	false	false	30	undefined	undefined	research-education	talk	beginner	de		undefined
rp14-session-272	rp14	 Internet into the wild - Myanmar goes online	http://re-publica.de/node/272	false	false	30	undefined	undefined	business-innovation	talk	intermediate	en		undefined
rp14-session-284	rp14	Six degrees of Wikipedia	http://re-publica.de/node/284	false	false	60	undefined	undefined	culture	action	beginner	de	, 	undefined
rp14-session-307	rp14	Wenn der Kühlschrank twittert: Das Zusammenspiel von Haushaltsgeräten in unserer vernetzten Welt	http://re-publica.de/node/307	false	false	30	undefined	undefined	science-technology	talk	intermediate	de		undefined
rp14-session-314	rp14	Der Online-Elternclan: Zur gesellschaftlichen Bedeutung von Elternblogs	http://re-publica.de/node/314	false	false	30	undefined	undefined	politics-society	talk	beginner	de		undefined
rp14-session-321	rp14	Diamonds are a quantum computer’s best friend	http://re-publica.de/node/321	false	false	60	undefined	undefined	science-technology	talk	beginner	en		undefined
rp14-session-334	rp14	Zeit für Sabotage!	http://re-publica.de/node/334	false	false	30	undefined	undefined	politics-society	discussion	intermediate	en		undefined
rp14-session-337	rp14	Health 2020 - How Science Fiction turns into Reality	http://re-publica.de/node/337	false	false	30	undefined	undefined	science-technology	talk	beginner	en		undefined
rp14-session-340	rp14	Jetlag Overload - One day we’ll be tired, baby!	http://re-publica.de/node/340	false	false	60	undefined	undefined	culture	workshop	beginner	de	, , 	undefined
rp14-session-348	rp14	Über das Entlieben in Zeiten des Internets	http://re-publica.de/node/348	false	false	30	undefined	undefined	undefined	talk	beginner	de		undefined
rp14-session-365	rp14	Barrierefreches Webdesign für Dummies	http://re-publica.de/node/365	false	false	30	undefined	undefined	research-education	talk	beginner	de		undefined
rp14-session-370	rp14	„Überwachung macht impotent!“ – Neue Narrative gegen Überwachung	http://re-publica.de/node/370	false	false	60	undefined	undefined	politics-society	talk	beginner	de		undefined
rp14-session-377	rp14	The Telescreen in your pocket	http://re-publica.de/node/377	false	false	60	undefined	undefined	science-technology	talk	advanced	en	, 	undefined
rp14-session-378	rp14	Can’t pay? Don’t play: New ethical models for digital business	http://re-publica.de/node/378	false	false	30	undefined	undefined	politics-society	talk	beginner	en		undefined
rp14-session-379	rp14	Burnout & Broken Comment Culture	http://re-publica.de/node/379	false	false	30	undefined	undefined	politics-society	talk	intermediate	de		undefined
rp14-session-383	rp14	Die Stein-Strategie – Von der Kunst, nicht zu handeln	http://re-publica.de/node/383	false	false	30	undefined	undefined	politics-society	talk	beginner	de		undefined
rp14-session-394	rp14	Sketchnotes für Einsteiger	http://re-publica.de/node/394	false	false	60	undefined	undefined	culture	workshop	beginner	de	, , 	undefined
rp14-session-402	rp14	#idpet – Wenn Partizipation und Grundrechte kollidieren.	http://re-publica.de/node/402	false	false	60	undefined	undefined	politics-society	talk	beginner	de	, 	undefined
rp14-session-408	rp14	Geschäftsmodell der Zukunft: Bullshit	http://re-publica.de/node/408	false	false	30	undefined	undefined	media	talk	beginner	de		undefined
rp14-session-410	rp14	Get real, Netzgemeinde	http://re-publica.de/node/410	false	false	60	undefined	undefined	politics-society	talk	intermediate	de		undefined
rp14-session-412	rp14	Irgendwo muss man halt anfangen - Programmieren für Nullcheckerbunnys	http://re-publica.de/node/412	false	false	60	undefined	undefined	research-education	workshop	beginner	de	, 	undefined
rp14-session-428	rp14	Do you want to know who has been asking about you? 	http://re-publica.de/node/428	false	false	30	undefined	undefined	politics-society	talk	intermediate	en		undefined
rp14-session-430	rp14	Smart Grid - Smarte Überwachung vs. Energiewende von unten	http://re-publica.de/node/430	false	false	30	undefined	undefined	politics-society	talk	beginner	de		undefined
rp14-session-439	rp14	Warum ACTA Jugendliche bewegt hat und PRISM kaum - eine Spurensuche	http://re-publica.de/node/439	false	false	30	undefined	undefined	research-education	talk	beginner	de		undefined
rp14-session-441	rp14	Stimmen der Revolution – Zeitreise durch 200 Jahre Widerstand	http://re-publica.de/node/441	false	false	30	undefined	undefined	politics-society	talk	beginner	de	, 	undefined
rp14-session-446	rp14	Beyond Porn oder Die digitale sexuelle Revolution	http://re-publica.de/node/446	false	false	60	undefined	undefined	culture	talk	beginner	de		undefined
rp14-session-447	rp14	History Repeating? Wenn Nerds Geschichte schreiben	http://re-publica.de/node/447	false	false	30	undefined	undefined	culture	talk	beginner	de		undefined
rp14-session-455	rp14	Von Tod und Geburt der Gegenwartsliteratur im Internet	http://re-publica.de/node/455	false	false	30	undefined	undefined	research-education	talk	beginner	de		undefined
rp14-session-460	rp14	A nerd, an autistic boy and a mother develop an app.	http://re-publica.de/node/460	false	false	30	undefined	undefined	research-education	talk	beginner	en	, , , 	undefined
rp14-session-462	rp14	Into the Kiez: Gefahrengebiet Lokaljournalismus	http://re-publica.de/node/462	false	false	60	undefined	undefined	media	discussion	beginner	de	, , , , 	undefined
rp14-session-480	rp14	Untenable stories and strong drinks	http://re-publica.de/node/480	false	false	60	undefined	undefined	culture	workshop	beginner	en	, 	undefined
rp14-session-486	rp14	Into the body - workshop	http://re-publica.de/node/486	false	false	60	undefined	undefined	science-technology	workshop	beginner	en		undefined
rp14-session-487	rp14	I will go down with this Ship - von Fandoms und Fan sein	http://re-publica.de/node/487	false	false	30	undefined	undefined	culture	talk	beginner	de		undefined
rp14-session-501	rp14	Network Liberation: How Freifunk Communities are Spreading around the World	http://re-publica.de/node/501	false	false	30	undefined	undefined	politics-society	talk	intermediate	en		undefined
rp14-session-502	rp14	Heroes	http://re-publica.de/node/502	false	false	30	undefined	undefined	politics-society	talk	advanced	en		undefined
rp14-session-504	rp14	Todessternsünden	http://re-publica.de/node/504	false	false	30	undefined	undefined	culture	talk	beginner	de		undefined
rp14-session-512	rp14	Crowdsourcing Design: The Good, the Bad and the Ugly	http://re-publica.de/node/512	false	false	60	undefined	undefined	politics-society	talk	intermediate	en		undefined
rp14-session-521	rp14	Data gone wild - wie frei darf Datenvisualisierung sein?	http://re-publica.de/node/521	false	false	60	undefined	undefined	media	discussion	intermediate	de	, 	undefined
rp14-session-527	rp14	Wildnis in der Wildnis: Digitaler Aufbruch an unseren Schulen	http://re-publica.de/node/527	false	false	60	undefined	undefined	research-education	discussion	beginner	de	, , 	undefined
rp14-session-528	rp14	Hacking “Chiba City”: Untaming the Data Deluge of Digital Urban Landscapes	http://re-publica.de/node/528	false	false	30	undefined	undefined	science-technology	discussion	beginner	en	, 	undefined
rp14-session-533	rp14	Geh mir weg mit BarCamp!	http://re-publica.de/node/533	false	false	60	undefined	undefined	business-innovation	discussion	intermediate	de	, , , 	undefined
rp14-session-545	rp14	[do:index] - Offenheit ranken? Der digitale Offenheitsindex	http://re-publica.de/node/545	false	false	60	undefined	undefined	politics-society	talk	intermediate	de	, 	undefined
rp14-session-550	rp14	Das Digitale Quartett analog und live on stage	http://re-publica.de/node/550	false	false	60	undefined	undefined	politics-society	talk	beginner	de		undefined
rp14-session-553	rp14	Automated profiling in law enforcement? What can we know about the actual practice Germany?	http://re-publica.de/node/553	false	false	30	undefined	undefined	science-technology	talk	beginner	en		undefined
rp14-session-577	rp14	Mit der Crowd um die Welt	http://re-publica.de/node/577	false	false	30	undefined	undefined	media	talk	intermediate	de	, 	undefined
rp14-session-586	rp14	Social Media & Recht: Saisonrückblick 2014	http://re-publica.de/node/586	false	false	90	undefined	undefined	politics-society	talk	intermediate	de	, 	undefined
rp14-session-604	rp14	Where's that Revolution	http://re-publica.de/node/604	false	false	60	undefined	undefined	business-innovation	discussion	intermediate	en		undefined
rp14-session-606	rp14	#Zensurheberrecht	http://re-publica.de/node/606	false	false	30	undefined	undefined	politics-society	discussion	beginner	de	, , 	undefined
rp14-session-607	rp14	Wie geht's dir, Kinderzimmerprogrammierer/in?	http://re-publica.de/node/607	false	false	30	undefined	undefined	research-education	talk	beginner	de		undefined
rp14-session-616	rp14	Escaping Dystopia	http://re-publica.de/node/616	false	false	30	undefined	undefined	culture	talk	beginner	en		undefined
rp14-session-617	rp14	“Into the Wild? Nicht mit mir!” – Warum Menschen das Netz (oder Teile davon) nicht nutzen 	http://re-publica.de/node/617	false	false	60	undefined	undefined	research-education	talk	beginner	de	, , , , 	undefined
rp14-session-653	rp14	Ein blindes Huhn ist kein Ponyhof: Mit Schabernack auf Wortschatzsuche 	http://re-publica.de/node/653	false	false	30	undefined	undefined	culture	talk	beginner	de		undefined
rp14-session-667	rp14	Big, small, open - my data	http://re-publica.de/node/667	false	false	30	undefined	undefined	politics-society	talk	intermediate	en	, 	undefined
rp14-session-675	rp14	Aristoteles mit der Brechstange - Games im Deutschunterricht	http://re-publica.de/node/675	false	false	15	undefined	undefined	research-education	talk	beginner	de		undefined
rp14-session-676	rp14	A Path Towards Autonomy	http://re-publica.de/node/676	false	false	30	undefined	undefined	politics-society	talk	intermediate	en		undefined
rp14-session-681	rp14	Keep It Tidy: digital security for your organisation	http://re-publica.de/node/681	false	false	30	undefined	undefined	science-technology	talk	beginner	en	, 	undefined
rp14-session-685	rp14	Making Privacy Tangible	http://re-publica.de/node/685	false	false	60	undefined	undefined	culture	workshop	intermediate	en		undefined
rp14-session-701	rp14	Denzentrale Social Networks. Warum sie scheitern und wie es gehen könnte	http://re-publica.de/node/701	false	false	30	undefined	undefined	politics-society	talk	advanced	de		undefined
rp14-session-727	rp14	Zurück in die Zukunft	http://re-publica.de/node/727	false	false	60	undefined	undefined	culture	talk	beginner	de		undefined
rp14-session-738	rp14	Facebook-Werbung: ein heiterer Bilderbogen	http://re-publica.de/node/738	false	false	30	undefined	undefined	media	talk	beginner	de		undefined
rp14-session-739	rp14	Maps of Myths: Memory Space and Digital Remembrance in the Egyptian Revolution	http://re-publica.de/node/739	false	false	30	undefined	undefined	culture	talk	intermediate	en		undefined
rp14-session-746	rp14	Wie ich lernte, die Überwachung zu lieben	http://re-publica.de/node/746	false	false	60	undefined	undefined	politics-society	talk	intermediate	de		undefined
rp14-session-748	rp14	Digital Citizenship - Orientierung und Verantwortung in sozialen Netzen	http://re-publica.de/node/748	false	false	15	undefined	undefined	research-education	talk	beginner	de	, 	undefined
rp14-session-758	rp14	Hacking History	http://re-publica.de/node/758	false	false	30	undefined	undefined	research-education	talk	advanced	en		undefined
rp14-session-760	rp14	Kreativitäts-Fracking: Der Vierte Affe	http://re-publica.de/node/760	false	false	60	undefined	undefined	culture	workshop	beginner	de		undefined
rp14-session-762	rp14	Bildmedien der Zukunft und wie sie unser Bild der Welt verändern	http://re-publica.de/node/762	false	false	30	undefined	undefined	science-technology	talk	beginner	de		undefined
rp14-session-767	rp14	The Mechanics of Crowdsourcing: Mobilizing the Many and the Extraordinary	http://re-publica.de/node/767	false	false	30	undefined	undefined	business-innovation	talk	beginner	en	, 	undefined
rp14-session-770	rp14	Data Dealer: Überwachung & Datenhandel als Spiel	http://re-publica.de/node/770	false	false	15	undefined	undefined	research-education	talk	beginner	de		undefined
rp14-session-778	rp14	Lights on the Wild! - Was können uns Geschichten der Netzpolitik über die Strukturierung eines Politikfeldes erzählen? 	http://re-publica.de/node/778	false	false	30	undefined	undefined	politics-society	talk	intermediate	de	, 	undefined
rp14-session-780	rp14	guns, sex and rock'n'roll as 3d prints	http://re-publica.de/node/780	false	false	60	undefined	undefined	politics-society	action	beginner	en	, , , , 	undefined
rp14-session-782	rp14	Anleitung zum offen machen. Wie Designerinnen und Designer ihre Arbeiten offen und frei zur Verfügung stellen können (und trotzdem Geld dabei verdienen).	http://re-publica.de/node/782	false	false	60	undefined	undefined	culture	workshop	intermediate	de		undefined
rp14-session-790	rp14	re:data	http://re-publica.de/node/790	false	false	30	undefined	undefined	business-innovation	workshop	intermediate	de	, , 	undefined
rp14-session-792	rp14	15 journalistic start-ups you need to know. In a presentation that will blow your mind.	http://re-publica.de/node/792	false	false	30	undefined	undefined	media	talk	beginner	de	, 	undefined
rp14-session-804	rp14	Geschichten aus dem Country Club - die weltweit erste App.net-Lesung	http://re-publica.de/node/804	false	false	30	undefined	undefined	culture	talk	beginner	de	, , , , 	undefined
rp14-session-807	rp14	Willkommen in meinen Wohnzimmer: Lifestyle-Blogger Oder: Wo verläuft die Grenze zwischen Persönlichem und Privatem.	http://re-publica.de/node/807	false	false	30	undefined	undefined	undefined	talk	beginner	de		undefined
rp14-session-819	rp14	Brechen wir auf IN DIE (Minecraft) WILDNIS - in der Schule	http://re-publica.de/node/819	false	false	30	undefined	undefined	research-education	talk	beginner	de		undefined
rp14-session-824	rp14	How we will settle on Mars – and why	http://re-publica.de/node/824	false	false	30	undefined	undefined	science-technology	talk	beginner	en		undefined
rp14-session-826	rp14	Game Thinking - Innovation und besseres Leben durch Spiele und Design?	http://re-publica.de/node/826	false	false	30	undefined	undefined	research-education	talk	beginner	de		undefined
rp14-session-834	rp14	Mit Sicherheit scheitern: the End of One-Internet	http://re-publica.de/node/834	false	false	30	undefined	undefined	politics-society	talk	intermediate	en		undefined
rp14-session-837	rp14	The Web Women Want - A new generation of thinkers 	http://re-publica.de/node/837	false	false	30	undefined	undefined	politics-society	talk	advanced	en		undefined
rp14-session-852	rp14	DesiSec :. Cybersecurity & Civil Society in India	http://re-publica.de/node/852	false	false	60	undefined	undefined	politics-society	talk	intermediate	en		undefined
rp14-session-855	rp14	Talk: A spoonful of craft helps the activism go down 	http://re-publica.de/node/855	false	false	30	undefined	undefined	politics-society	talk	beginner	en		undefined
rp14-session-857	rp14	Stone age minds in a digital world – Evolutionspsychologische Perspektive auf die digitale Welt	http://re-publica.de/node/857	false	false	30	undefined	undefined	science-technology	talk	beginner	de	, 	undefined
rp14-session-865	rp14	Networked Consent: Dreaming and Desire in the 21st Century	http://re-publica.de/node/865	false	false	60	undefined	undefined	politics-society	talk	beginner	en		undefined
rp14-session-867	rp14	Trade School Berlin: an experimental learning project 	http://re-publica.de/node/867	false	false	15	undefined	undefined	research-education	workshop	beginner	en		undefined
rp14-session-871	rp14	It´s a Bingo! - Herm und Nilz retten die Welt	http://re-publica.de/node/871	false	false	60	undefined	undefined	science-technology	action	beginner	de		undefined
rp14-session-874	rp14	The Podlove Matrix	http://re-publica.de/node/874	false	false	60	undefined	undefined	science-technology	talk	intermediate	en		undefined
rp14-session-879	rp14	Black to Grey to Black: Lessons From Two Decades of Online Activism	http://re-publica.de/node/879	false	false	30	undefined	undefined	politics-society	talk	beginner	en		undefined
rp14-session-941	rp14	Unmasking the Arzeshi - Iran's Conservative Cyber Activists	http://re-publica.de/node/941	false	false	60	undefined	undefined	politics-society	talk	beginner	en	, , 	undefined
rp14-session-975	rp14	Let's talk about sex baby, let's talk about PGP	http://re-publica.de/node/975	false	false	60	undefined	undefined	politics-society	talk	beginner	en		undefined
