id	event	name	photo	organization	position	sessions
rp14-speaker-857	rp14	Katrin Rönicke	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/kadda_klein.jpg	Frau Lila	Gründerin	
rp14-speaker-860	rp14	Wibke Ladwig	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/ladwig_web.jpg	Chefin		
rp14-speaker-861	rp14	Kirsten Fiedler	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/kirstenfiedler.jpg	European Digital Rights	Managing Director	
rp14-speaker-876	rp14	Oxblood Ruffin	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/oxblood_no-tie_5x4cm-300dpi_copy.jpg	Centre for Internet &amp; Society	Director, Cybersecurity Film	
rp14-speaker-879	rp14	Ulrich Tausend	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/ulrich_tausend_2012_1000.jpg	Tausend Medien		
rp14-speaker-880	rp14	Wiebke Loosen	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/wloosen.jpg	Hans-Bredow-Institut	Senior Researcher	
rp14-speaker-881	rp14	Rebecca Renatus	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/bewerbungsfoto_rebeccarenatus.jpg	Institut für KoWi Dresden	Wissenschaftliche Mitarbeiterin	
rp14-speaker-884	rp14	fALk Gärtner	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/falk_bw.jpg			
rp14-speaker-889	rp14	Stefan Wehrmeyer	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/wehrmeyer_4.jpg			
rp14-speaker-890	rp14	Beatrice Martini	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/photo_republica.jpg	Open Knowledge Foundation	Events Manager	
rp14-speaker-896	rp14	Julia Krüger	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/wzb_jahresbericht_4865.jpg	WZB	Research Fellow	
rp14-speaker-906	rp14	Christina Pautsch	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/christina_avatar.png	Service Designer		
rp14-speaker-907	rp14	Carolin Thiem	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/caro.jpg	Si Labs GmbH	Innovation Researcher	
rp14-speaker-924	rp14	Jakob Ohme 	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/jakob_brick_sw.jpg	Center for Journalism, SDU	PhD Research Fellow	
rp14-speaker-928	rp14	Gloria   Spindle	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/p1050566.jpg			
rp14-speaker-930	rp14	Nils Meinzer	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/foto_nils.jpg	Radio Bremen		
rp14-speaker-934	rp14	Anthony Zacharzewski	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/new_headshot1024.jpg	Democratic Society 	Director	
rp14-speaker-935	rp14	Felix Schwenzel	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/felixmitei_h2.jpg	wirres.net		
rp14-speaker-938	rp14	Steffi Fetz	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/steffi_fetz.jpg			
rp14-speaker-941	rp14	Jan Boelmann	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/19555_1342367204393_959619_n.jpg	PH Ludwigsburg	Jun.-Prof. für literarisches Lernen	
rp14-speaker-948	rp14	Michael Seemann	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/7165221904_54ff1d1863_b.jpeg			
rp14-speaker-952	rp14	Bianca Praetorius	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/photo_2.jpg			
rp14-speaker-953	rp14	Faith Bosworth	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/me_2.jpg	Tactical Technology Collective		
rp14-speaker-954	rp14	Frederike Kaltheuner	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/frederike_kaltheuner.png			
rp14-speaker-958	rp14	Eva-Maria  Zoll	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/dsc05951.jpg	Design For Change	Ambassador/ Founder	
rp14-speaker-960	rp14	Kay Meseberg	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/andy_kay.jpg			
rp14-speaker-967	rp14	Lorenz Lorenz-Meyer	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/lolo_square.jpg	HS Darmstadt / Onlinejournalismus		
rp14-speaker-971	rp14	Dorothea Martin	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/dorothea_martin.jpg	imaginary friends	Kreation	
rp14-speaker-973	rp14	Fiona Krakenbürger	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/fiona-krakenbuerger.jpg			
rp14-speaker-978	rp14	Stefan Aufenanger	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/aufenanger_13.jpg	Universität Mainz	Professor	
rp14-speaker-983	rp14	Manuela Schauerhammer	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/republica14_manuportrait.jpg		(SEO)-Texterin, Bloggerin, Netz- und Beteiligungsaktivistin 	
rp14-speaker-987	rp14	Oona Leganovic	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/passfotoclean.jpg			
rp14-speaker-989	rp14	Christiane  Frohmann	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/christianeverstrahlt.jpg	Katersalon	Salonière	
rp14-speaker-996	rp14	Wolfie Christl	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/wolfie_christl1024.jpg	Cracked Labs	Co-Founder	
rp14-speaker-999	rp14	Tabea Siebertz	http://re-publica.de/sites/14.re-publica.de/files/media/pictures/_mg_4108_.jpg			
